x1,y1,z1,x2,y2,z2
-315.239,-444.232,-0.396395,-315.239,-414.232,-0.396395
-315.239,-444.232,-0.396395,-285.239,-444.232,-0.396395
-315.239,-444.232,179.604,-315.239,-444.232,209.604
-315.239,-444.232,179.604,-315.239,-414.232,179.604
-315.239,-444.232,179.604,-285.239,-444.232,179.604
-315.239,-444.232,209.604,-315.239,-444.232,179.604
-315.239,-444.232,209.604,-315.239,-414.232,209.604
-315.239,-444.232,209.604,-285.239,-444.232,209.604
-315.239,-414.232,-0.396395,-315.239,-444.232,-0.396395
-315.239,-414.232,-0.396395,-315.239,-384.232,-0.396395
-315.239,-414.232,-0.396395,-285.239,-414.232,-0.396395
-315.239,-414.232,179.604,-315.239,-444.232,179.604
-315.239,-414.232,179.604,-315.239,-414.232,209.604
-315.239,-414.232,179.604,-315.239,-384.232,179.604
-315.239,-414.232,179.604,-285.239,-414.232,179.604
-315.239,-414.232,209.604,-315.239,-444.232,209.604
-315.239,-414.232,209.604,-315.239,-414.232,179.604
-315.239,-414.232,209.604,-315.239,-384.232,209.604
-315.239,-414.232,209.604,-285.239,-414.232,209.604
-315.239,-384.232,-0.396395,-315.239,-414.232,-0.396395
-315.239,-384.232,-0.396395,-315.239,-384.232,29.6036
-315.239,-384.232,-0.396395,-315.239,-354.232,-0.396395
-315.239,-384.232,-0.396395,-285.239,-384.232,-0.396395
-315.239,-384.232,29.6036,-315.239,-384.232,-0.396395
-315.239,-384.232,29.6036,-315.239,-384.232,59.6036
-315.239,-384.232,29.6036,-315.239,-354.232,29.6036
-315.239,-384.232,29.6036,-285.239,-384.232,29.6036
-315.239,-384.232,59.6036,-315.239,-384.232,29.6036
-315.239,-384.232,59.6036,-315.239,-384.232,89.6036
-315.239,-384.232,59.6036,-315.239,-354.232,59.6036
-315.239,-384.232,59.6036,-285.239,-384.232,59.6036
-315.239,-384.232,89.6036,-315.239,-384.232,59.6036
-315.239,-384.232,89.6036,-315.239,-384.232,119.604
-315.239,-384.232,89.6036,-315.239,-354.232,89.6036
-315.239,-384.232,89.6036,-285.239,-384.232,89.6036
-315.239,-384.232,119.604,-315.239,-384.232,89.6036
-315.239,-384.232,119.604,-315.239,-384.232,149.604
-315.239,-384.232,119.604,-315.239,-354.232,119.604
-315.239,-384.232,119.604,-285.239,-384.232,119.604
-315.239,-384.232,149.604,-315.239,-384.232,119.604
-315.239,-384.232,149.604,-315.239,-384.232,179.604
-315.239,-384.232,149.604,-315.239,-354.232,149.604
-315.239,-384.232,149.604,-285.239,-384.232,149.604
-315.239,-384.232,179.604,-315.239,-414.232,179.604
-315.239,-384.232,179.604,-315.239,-384.232,149.604
-315.239,-384.232,179.604,-315.239,-384.232,209.604
-315.239,-384.232,179.604,-315.239,-354.232,179.604
-315.239,-384.232,179.604,-285.239,-384.232,179.604
-315.239,-384.232,209.604,-315.239,-414.232,209.604
-315.239,-384.232,209.604,-315.239,-384.232,179.604
-315.239,-384.232,209.604,-315.239,-354.232,209.604
-315.239,-384.232,209.604,-285.239,-384.232,209.604
-315.239,-354.232,-0.396395,-315.239,-384.232,-0.396395
-315.239,-354.232,-0.396395,-315.239,-354.232,29.6036
