x,y,z
10,10,10
14.7611,5.76849,29.6036
14.7611,35.7685,29.6036
44.7611,35.7685,29.6036
44.7611,35.7685,59.6036
44.7611,65.7685,59.6036
74.7611,65.7685,59.6036
74.7611,65.7685,89.6036
74.7611,95.7685,89.6036
104.761,95.7685,89.6036
