minX,maxX,minY,maxY,minZ,maxZ
-175.239,-165.239,-414.232,-404.232,0,53
-165.239,-155.239,-414.232,-404.232,0,53
-155.239,-145.239,-414.232,-404.232,0,53
-145.239,-135.239,-414.232,-404.232,0,53
-135.239,-125.239,-414.232,-404.232,0,53
-125.239,-115.239,-414.232,-404.232,0,53
-115.239,-105.239,-414.232,-404.232,0,55
-105.239,-95.2389,-414.232,-404.232,0,16
-95.2389,-85.2389,-414.232,-404.232,0,16
-85.2389,-75.2389,-414.232,-404.232,0,16
-75.2389,-65.2389,-414.232,-404.232,0,16
-45.2389,-35.2389,-414.232,-404.232,0,41
-35.2389,-25.2389,-414.232,-404.232,0,41
-25.2389,-15.2389,-414.232,-404.232,0,41
164.761,174.761,-414.232,-404.232,0,41
174.761,184.761,-414.232,-404.232,0,41
184.761,194.761,-414.232,-404.232,0,41
194.761,204.761,-414.232,-404.232,0,41
224.761,234.761,-414.232,-404.232,0,21
234.761,244.761,-414.232,-404.232,0,21
244.761,254.761,-414.232,-404.232,0,21
254.761,264.761,-414.232,-404.232,0,21
264.761,274.761,-414.232,-404.232,0,21
284.761,294.761,-414.232,-404.232,0,81
294.761,304.761,-414.232,-404.232,0,81
304.761,314.761,-414.232,-404.232,0,81
314.761,324.761,-414.232,-404.232,0,81
354.761,364.761,-414.232,-404.232,0,34
364.761,374.761,-414.232,-404.232,0,34
374.761,384.761,-414.232,-404.232,0,34
384.761,394.761,-414.232,-404.232,0,34
394.761,404.761,-414.232,-404.232,0,34
414.761,424.761,-414.232,-404.232,0,8
424.761,434.761,-414.232,-404.232,0,8
434.761,444.761,-414.232,-404.232,0,8
444.761,454.761,-414.232,-404.232,0,8
544.761,554.761,-414.232,-404.232,0,25
564.761,574.761,-414.232,-404.232,0,25
574.761,584.761,-414.232,-404.232,0,25
-315.239,-305.239,-404.232,-394.232,0,171
-305.239,-295.239,-404.232,-394.232,0,171
-295.239,-285.239,-404.232,-394.232,0,14
-285.239,-275.239,-404.232,-394.232,0,14
-275.239,-265.239,-404.232,-394.232,0,14
-265.239,-255.239,-404.232,-394.232,0,14
-225.239,-215.239,-404.232,-394.232,0,100
-215.239,-205.239,-404.232,-394.232,0,100
-205.239,-195.239,-404.232,-394.232,0,100
-175.239,-165.239,-404.232,-394.232,0,53
-165.239,-155.239,-404.232,-394.232,0,53
-155.239,-145.239,-404.232,-394.232,0,53
-145.239,-135.239,-404.232,-394.232,0,53
-135.239,-125.239,-404.232,-394.232,0,53
-125.239,-115.239,-404.232,-394.232,0,53
-115.239,-105.239,-404.232,-394.232,0,55
-105.239,-95.2389,-404.232,-394.232,0,16
-95.2389,-85.2389,-404.232,-394.232,0,16
-85.2389,-75.2389,-404.232,-394.232,0,16
104.761,114.761,-404.232,-394.232,0,99
114.761,124.761,-404.232,-394.232,0,99
124.761,134.761,-404.232,-394.232,0,99
134.761,144.761,-404.232,-394.232,0,99
154.761,164.761,-404.232,-394.232,0,41
164.761,174.761,-404.232,-394.232,0,41
174.761,184.761,-404.232,-394.232,0,41
184.761,194.761,-404.232,-394.232,0,41
194.761,204.761,-404.232,-394.232,0,41
224.761,234.761,-404.232,-394.232,0,21
234.761,244.761,-404.232,-394.232,0,21
244.761,254.761,-404.232,-394.232,0,21
254.761,264.761,-404.232,-394.232,0,21
264.761,274.761,-404.232,-394.232,0,21
284.761,294.761,-404.232,-394.232,0,81
294.761,304.761,-404.232,-394.232,0,81
304.761,314.761,-404.232,-394.232,0,81
314.761,324.761,-404.232,-394.232,0,81
354.761,364.761,-404.232,-394.232,0,34
364.761,374.761,-404.232,-394.232,0,34
374.761,384.761,-404.232,-394.232,0,34
384.761,394.761,-404.232,-394.232,0,34
394.761,404.761,-404.232,-394.232,0,34
414.761,424.761,-404.232,-394.232,0,12
424.761,434.761,-404.232,-394.232,0,12
434.761,444.761,-404.232,-394.232,0,12
444.761,454.761,-404.232,-394.232,0,12
484.761,494.761,-404.232,-394.232,0,25
494.761,504.761,-404.232,-394.232,0,25
514.761,524.761,-404.232,-394.232,0,25
524.761,534.761,-404.232,-394.232,0,25
534.761,544.761,-404.232,-394.232,0,25
544.761,554.761,-404.232,-394.232,0,25
564.761,574.761,-404.232,-394.232,0,25
574.761,584.761,-404.232,-394.232,0,25
-305.239,-295.239,-394.232,-384.232,0,14
-295.239,-285.239,-394.232,-384.232,0,14
-285.239,-275.239,-394.232,-384.232,0,14
-275.239,-265.239,-394.232,-384.232,0,14
-265.239,-255.239,-394.232,-384.232,0,14
-255.239,-245.239,-394.232,-384.232,0,100
-245.239,-235.239,-394.232,-384.232,0,100
-235.239,-225.239,-394.232,-384.232,0,100
-225.239,-215.239,-394.232,-384.232,0,100
-215.239,-205.239,-394.232,-384.232,0,100
-205.239,-195.239,-394.232,-384.232,0,100
-165.239,-155.239,-394.232,-384.232,0,53
-155.239,-145.239,-394.232,-384.232,0,53
34.7611,44.7611,-394.232,-384.232,0,81
44.7611,54.7611,-394.232,-384.232,0,81
54.7611,64.7611,-394.232,-384.232,0,81
64.7611,74.7611,-394.232,-384.232,0,81
104.761,114.761,-394.232,-384.232,0,99
114.761,124.761,-394.232,-384.232,0,99
124.761,134.761,-394.232,-384.232,0,99
134.761,144.761,-394.232,-384.232,0,99
164.761,174.761,-394.232,-384.232,0,41
174.761,184.761,-394.232,-384.232,0,41
184.761,194.761,-394.232,-384.232,0,41
194.761,204.761,-394.232,-384.232,0,41
224.761,234.761,-394.232,-384.232,0,21
234.761,244.761,-394.232,-384.232,0,21
294.761,304.761,-394.232,-384.232,0,81
304.761,314.761,-394.232,-384.232,0,81
314.761,324.761,-394.232,-384.232,0,81
384.761,394.761,-394.232,-384.232,0,25
394.761,404.761,-394.232,-384.232,0,25
424.761,434.761,-394.232,-384.232,0,12
434.761,444.761,-394.232,-384.232,0,12
444.761,454.761,-394.232,-384.232,0,12
484.761,494.761,-394.232,-384.232,0,25
494.761,504.761,-394.232,-384.232,0,25
524.761,534.761,-394.232,-384.232,0,25
534.761,544.761,-394.232,-384.232,0,25
554.761,564.761,-394.232,-384.232,0,25
564.761,574.761,-394.232,-384.232,0,25
574.761,584.761,-394.232,-384.232,0,25
-305.239,-295.239,-384.232,-374.232,0,14
-295.239,-285.239,-384.232,-374.232,0,14
-285.239,-275.239,-384.232,-374.232,0,14
-275.239,-265.239,-384.232,-374.232,0,14
-265.239,-255.239,-384.232,-374.232,0,14
-255.239,-245.239,-384.232,-374.232,0,100
-245.239,-235.239,-384.232,-374.232,0,100
-235.239,-225.239,-384.232,-374.232,0,100
-225.239,-215.239,-384.232,-374.232,0,100
-215.239,-205.239,-384.232,-374.232,0,100
-205.239,-195.239,-384.232,-374.232,0,100
-25.2389,-15.2389,-384.232,-374.232,0,69
34.7611,44.7611,-384.232,-374.232,0,81
44.7611,54.7611,-384.232,-374.232,0,81
54.7611,64.7611,-384.232,-374.232,0,81
64.7611,74.7611,-384.232,-374.232,0,81
104.761,114.761,-384.232,-374.232,0,99
114.761,124.761,-384.232,-374.232,0,99
124.761,134.761,-384.232,-374.232,0,99
134.761,144.761,-384.232,-374.232,0,99
144.761,154.761,-384.232,-374.232,0,99
164.761,174.761,-384.232,-374.232,0,41
174.761,184.761,-384.232,-374.232,0,41
184.761,194.761,-384.232,-374.232,0,41
194.761,204.761,-384.232,-374.232,0,41
234.761,244.761,-384.232,-374.232,0,21
294.761,304.761,-384.232,-374.232,0,81
304.761,314.761,-384.232,-374.232,0,81
314.761,324.761,-384.232,-374.232,0,81
384.761,394.761,-384.232,-374.232,0,25
394.761,404.761,-384.232,-374.232,0,25
424.761,434.761,-384.232,-374.232,0,13
434.761,444.761,-384.232,-374.232,0,13
444.761,454.761,-384.232,-374.232,0,26
454.761,464.761,-384.232,-374.232,0,26
484.761,494.761,-384.232,-374.232,0,25
494.761,504.761,-384.232,-374.232,0,25
